temperatura,umidade,velocidade_vento,precipitacao_mm,dias_sem_chuva,brilho,frp,confianca,ndvi,declividade,bioma,estado,estacao_seca,vento_forte,alto_risco
25.4,69.0,7.6,0.0,30,342.1,4.0,65.0,0.3,8.5,Caatinga,BA,0,0,1
25.4,69.0,7.6,0.0,30,349.7,6.3,65.0,0.3,12.3,Caatinga,??,0,0,1
25.4,69.0,7.6,0.0,30,342.0,3.7,65.0,0.3,6.7,Caatinga,BA,0,0,0
25.4,69.0,7.6,0.0,30,341.0,9.0,65.0,0.3,8.2,Caatinga,BA,0,0,1
25.4,69.0,7.6,0.0,30,333.3,2.2,65.0,0.3,8.1,Caatinga,BA,0,0,0
25.4,69.0,7.6,0.0,30,335.7,6.7,65.0,0.8,4.0,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,367.0,15.3,95.0,0.8,12.4,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,328.4,6.0,65.0,0.8,7.7,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,330.2,2.1,65.0,0.3,10.1,Caatinga,BA,0,0,1
25.4,69.0,7.6,0.0,30,367.0,6.8,95.0,0.8,12.4,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,356.3,6.8,65.0,0.8,12.2,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,332.2,7.2,65.0,0.8,13.3,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,340.2,7.2,65.0,0.8,9.5,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,344.4,9.2,65.0,0.3,7.9,Caatinga,BA,0,0,0
25.4,69.0,7.6,0.0,30,333.4,2.6,65.0,0.3,9.6,Caatinga,BA,0,0,0
25.4,69.0,7.6,0.0,30,336.8,2.6,65.0,0.8,1.6,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,337.4,4.0,65.0,0.3,2.8,Caatinga,??,0,0,0
25.4,69.0,7.6,0.0,30,348.4,2.4,65.0,0.8,3.4,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,331.7,2.4,65.0,0.8,5.0,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,330.7,4.5,65.0,0.8,12.0,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,339.1,3.8,65.0,0.8,5.5,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,331.8,3.8,65.0,0.8,8.1,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,335.1,3.6,65.0,0.8,16.5,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,340.7,14.0,65.0,0.8,8.2,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,356.3,22.3,65.0,0.8,13.7,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,367.0,14.0,95.0,0.8,5.3,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,339.4,14.0,65.0,0.8,9.0,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,353.1,15.4,65.0,0.8,5.2,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,340.4,6.7,65.0,0.8,8.3,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,348.8,16.8,65.0,0.8,14.2,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,343.9,16.8,65.0,0.8,1.4,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,330.2,5.2,65.0,0.8,12.2,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,353.2,27.3,65.0,0.8,11.2,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,341.9,25.3,65.0,0.8,7.0,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,341.2,16.8,65.0,0.8,2.8,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,351.8,14.7,65.0,0.8,10.4,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,341.3,14.7,65.0,0.8,7.4,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,355.3,14.7,65.0,0.8,11.2,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,340.5,3.3,65.0,0.3,10.1,Caatinga,??,0,0,1
25.4,69.0,7.6,0.0,30,338.5,3.1,65.0,0.3,18.0,Caatinga,??,0,0,1
25.4,69.0,7.6,0.0,30,342.5,3.3,65.0,0.3,8.8,Caatinga,??,0,0,0
25.4,69.0,7.6,0.0,30,335.8,2.2,65.0,0.3,4.9,Caatinga,CE,0,0,0
25.4,69.0,7.6,0.0,30,334.1,2.4,65.0,0.3,10.9,Caatinga,CE,0,0,0
25.4,69.0,7.6,0.0,30,346.9,8.7,65.0,0.7,11.1,Mata Atlantica,??,0,0,0
25.4,69.0,7.6,0.0,30,332.8,2.4,65.0,0.3,16.8,Caatinga,CE,0,0,0
25.4,69.0,7.6,0.0,30,331.2,4.5,65.0,0.7,14.2,Mata Atlantica,MA,0,0,0
25.4,69.0,7.6,0.0,30,349.8,5.8,65.0,0.3,11.8,Caatinga,MA,0,0,0
25.4,69.0,7.6,0.0,30,333.4,5.8,65.0,0.3,17.3,Caatinga,MA,0,0,0
25.4,69.0,7.6,0.0,30,339.3,5.0,65.0,0.5,4.1,Cerrado,??,0,0,0
25.4,69.0,7.6,0.0,30,330.9,3.1,65.0,0.6,6.8,Pantanal,??,0,0,1
25.4,69.0,7.6,0.0,30,342.7,6.0,65.0,0.6,5.4,Pantanal,??,0,0,0
25.4,69.0,7.6,0.0,30,336.6,6.0,65.0,0.6,8.1,Pantanal,??,0,0,0
25.4,69.0,7.6,0.0,30,330.2,2.7,65.0,0.6,3.1,Pantanal,MS,0,0,0
25.4,69.0,7.6,0.0,30,335.9,6.0,65.0,0.5,13.2,Cerrado,MS,0,0,1
25.4,69.0,7.6,0.0,30,342.0,5.7,65.0,0.5,8.9,Cerrado,MS,0,0,0
25.4,69.0,7.6,0.0,30,338.1,5.7,65.0,0.5,2.6,Cerrado,MS,0,0,1
25.4,69.0,7.6,0.0,30,328.0,0.4,65.0,0.6,4.9,Pantanal,MS,0,0,1
25.4,69.0,7.6,0.0,30,329.5,3.5,65.0,0.6,11.6,Pantanal,??,0,0,0
25.4,69.0,7.6,0.0,30,353.4,11.3,65.0,0.5,14.2,Cerrado,MS,0,0,1
25.4,69.0,7.6,0.0,30,332.4,3.5,65.0,0.7,20.0,Mata Atlantica,MG,0,0,0
25.4,69.0,7.6,0.0,30,329.0,2.9,65.0,0.7,24.6,Mata Atlantica,MG,0,0,1
25.4,69.0,7.6,0.0,30,342.0,6.4,65.0,0.6,12.1,Pantanal,MS,0,0,0
25.4,69.0,7.6,0.0,30,332.4,2.7,65.0,0.5,5.1,Cerrado,MS,0,0,0
25.4,69.0,7.6,0.0,30,332.1,1.4,65.0,0.5,0.0,Cerrado,MS,0,0,1
25.4,69.0,7.6,0.0,30,332.9,1.0,65.0,0.5,11.3,Cerrado,MS,0,0,1
25.4,69.0,7.6,0.0,30,340.4,11.0,65.0,0.5,5.9,Cerrado,MS,0,0,0
25.4,69.0,7.6,0.0,30,343.1,23.4,65.0,0.5,7.9,Cerrado,MS,0,0,1
25.4,69.0,7.6,0.0,30,345.1,11.0,65.0,0.5,6.9,Cerrado,MS,0,0,0
25.4,69.0,7.6,0.0,30,341.1,5.5,65.0,0.5,9.3,Cerrado,??,0,0,0
25.4,69.0,7.6,0.0,30,340.1,5.5,65.0,0.5,15.3,Cerrado,??,0,0,0
25.4,69.0,7.6,0.0,30,331.0,3.5,65.0,0.5,10.8,Cerrado,??,0,0,0
25.4,69.0,7.6,0.0,30,338.0,5.7,65.0,0.5,9.2,Cerrado,??,0,0,0
25.4,69.0,7.6,0.0,30,340.2,29.1,65.0,0.5,4.8,Cerrado,??,0,0,1
25.4,69.0,7.6,0.0,30,333.7,29.1,65.0,0.5,1.6,Cerrado,??,0,0,1
25.4,69.0,7.6,0.0,30,356.7,39.4,65.0,0.5,7.6,Cerrado,??,0,0,0
25.4,69.0,7.6,0.0,30,339.0,4.7,65.0,0.5,9.7,Cerrado,??,0,0,0
25.4,69.0,7.6,0.0,30,334.8,4.8,65.0,0.5,18.8,Cerrado,??,0,0,0
25.4,69.0,7.6,0.0,30,331.7,5.3,65.0,0.6,10.7,Pantanal,MS,0,0,0
25.4,69.0,7.6,0.0,30,341.5,8.0,65.0,0.6,14.9,Pantanal,MS,0,0,1
25.4,69.0,7.6,0.0,30,337.0,8.0,65.0,0.6,7.5,Pantanal,MS,0,0,0
25.4,69.0,7.6,0.0,30,335.1,3.6,65.0,0.5,4.1,Cerrado,MS,0,0,1
25.4,69.0,7.6,0.0,30,330.7,2.1,65.0,0.5,5.2,Cerrado,MS,0,0,0
25.4,69.0,7.6,0.0,30,335.4,2.7,65.0,0.5,6.4,Cerrado,MS,0,0,0
25.4,69.0,7.6,0.0,30,335.2,3.9,65.0,0.5,20.6,Cerrado,??,0,0,0
25.4,69.0,7.6,0.0,30,327.7,2.3,65.0,0.5,5.9,Cerrado,MS,0,0,1
25.4,69.0,7.6,0.0,30,328.5,3.0,65.0,0.5,14.2,Cerrado,??,0,0,0
25.4,69.0,7.6,0.0,30,328.7,0.3,65.0,0.5,5.5,Cerrado,MS,0,0,0
25.4,69.0,7.6,0.0,30,344.1,4.4,65.0,0.5,14.7,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,333.7,3.2,65.0,0.5,11.9,Desconhecido,??,0,0,1
25.4,69.0,7.6,0.0,30,346.3,9.4,65.0,0.5,9.2,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,332.7,3.2,65.0,0.5,9.8,Desconhecido,MT,0,0,1
25.4,69.0,7.6,0.0,30,339.5,4.5,65.0,0.5,6.7,Desconhecido,??,0,0,1
25.4,69.0,7.6,0.0,30,355.9,15.0,65.0,0.5,12.2,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,367.0,16.1,95.0,0.5,7.7,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,336.2,5.8,65.0,0.5,3.9,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,333.1,4.5,65.0,0.5,3.6,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,355.6,15.9,65.0,0.5,10.9,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,342.6,5.1,65.0,0.5,17.9,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,336.0,5.7,65.0,0.5,10.8,Cerrado,MT,0,0,0
